pi	EigenGWAS
Solyc01g103310	Solyc01g113490
Solyc01g103330	Solyc01g113500
Solyc01g103340	Solyc02g010650
Solyc01g103350	Solyc02g010680
Solyc01g103360	Solyc02g011680
Solyc01g103370	Solyc02g011690
Solyc01g103380	Solyc02g011700
Solyc01g103390	Solyc02g011710
Solyc01g103400	Solyc02g011720
Solyc01g103410	Solyc02g011730
Solyc01g103420	Solyc02g011740
Solyc01g103430	Solyc02g011750
Solyc01g103440	Solyc02g011760
Solyc01g103450	Solyc02g011770
Solyc01g103460	Solyc02g011780
Solyc01g103470	Solyc02g011790
Solyc01g103480	Solyc02g011800
Solyc01g103490	Solyc02g011810
Solyc01g103500	Solyc02g011820
Solyc01g103510	Solyc02g011830
Solyc01g103530	Solyc02g011840
Solyc01g103540	Solyc02g011850
Solyc01g103550	Solyc02g011860
Solyc01g103560	Solyc02g011870
Solyc01g103570	Solyc02g011880
Solyc01g103580	Solyc02g011890
Solyc01g103590	Solyc02g011900
Solyc01g103600	Solyc02g011910
Solyc01g104110	Solyc02g011920
Solyc01g104120	Solyc02g011930
Solyc01g104130	Solyc02g011940
Solyc01g104140	Solyc02g011950
Solyc01g104150	Solyc02g011960
Solyc01g104160	Solyc02g011970
Solyc01g104170	Solyc02g011980
Solyc01g104180	Solyc02g011990
Solyc01g104190	Solyc02g012000
Solyc01g104200	Solyc02g012010
Solyc01g104210	Solyc02g012020
Solyc01g104220	Solyc02g065080
Solyc01g104230	Solyc02g065090
Solyc01g105830	Solyc02g065100
Solyc01g105820	Solyc02g065110
Solyc01g105840	Solyc02g065120
Solyc01g105850	Solyc02g065130
Solyc01g105860	Solyc02g065140
Solyc01g105870	Solyc02g065150
Solyc01g105880	Solyc02g065160
Solyc01g105890	Solyc02g065170
Solyc01g105900	Solyc02g065180
Solyc01g105910	Solyc02g091470
Solyc01g105920	Solyc02g091480
Solyc01g105930	Solyc02g091490
Solyc01g105940	Solyc02g091500
Solyc01g105950	Solyc02g091510
Solyc01g105960	Solyc02g091520
Solyc01g105970	Solyc02g091530
Solyc01g105980	Solyc02g091540
Solyc01g105990	Solyc02g091550
Solyc01g106000	Solyc02g091560
Solyc01g106010	Solyc02g091570
Solyc01g106020	Solyc02g091580
Solyc01g106030	Solyc02g091590
Solyc01g106040	Solyc02g091600
Solyc01g106050	Solyc02g091610
Solyc01g106060	Solyc02g092060
Solyc01g106070	Solyc02g092070
Solyc01g106080	Solyc02g092080
